#        ID    YR  MO  DY  HR MN     SC      lon      lat    depth    MAG
201007014035  2010   7   1  18  39  52.00 -97.2800  35.5600     4.00    2.6    
201007024019  2010   7   2   8   8  14.00 -97.2890  35.5640     2.50    2.7    
201007044053  2010   7   4  23  11  40.00 -97.2760  35.5660     2.60    2.5    
201007144006  2010   7  14   2  12  57.00 -96.3750  34.6380     5.00    2.5    
201007144032  2010   7  14  13   6  24.00 -98.2220  36.8510     5.00    2.7    
201007164021  2010   7  16  12  20  35.00 -96.1140  34.6770     5.00    2.6    
201007264019  2010   7  26   4  21  59.00 -97.2450  35.5620     3.40    2.9    
201008024033  2010   8   2   9  19  52.00 -97.2410  35.5590     3.20    3.4    
201008024034  2010   8   2  10   2  28.00 -97.2410  35.5570     3.00    2.8    
201008024035  2010   8   2  10  47  35.00 -97.2430  35.5550     3.00    2.9    
201008074029  2010   8   7  14   3  24.00 -96.0960  34.6790     5.00    2.9    
201008084013  2010   8   8   8  59  41.00 -97.4560  34.9180     5.00    2.8    
201008134013  2010   8  13   3  31  50.00 -97.2270  35.5850     3.60    2.6    
201008244041  2010   8  24  18  57  26.00 -96.7630  35.5260     5.00    2.6    
201008244042  2010   8  24  18  27  32.00 -96.7610  35.5400     5.00    2.5    
201008294004  2010   8  29   0  44  46.00 -97.2370  35.6100     2.60    2.5    
201008294032  2010   8  29  11  49  14.00 -97.2370  35.6100     3.50    2.5    
201009014001  2010   9   1   0  31  46.00 -97.2350  35.6110     3.10    3.1    
201009014002  2010   9   1   1  34   7.00 -97.2410  35.6040     4.30    2.9    
201009014022  2010   9   1   9  23  17.00 -97.2430  35.6090     3.50    2.5    
201009034045  2010   9   3  14  17  28.00 -97.0030  35.5400     5.00    2.7    
201009044058  2010   9   4  16   9  22.00 -97.2400  35.6110     3.30    3.3    
201009084001  2010   9   8   0  31  25.00 -97.2940  35.5570     4.30    2.7    
201009084002  2010   9   8   0  46  28.00 -97.2900  35.5610     4.00    2.5    
201009104026  2010   9  10  15  52   0.00 -97.2380  35.6080     4.00    2.6    
201009154068  2010   9  15  20  53   3.00 -97.2420  35.6090     4.20    3.1    
201009164035  2010   9  16  21  34  41.00 -97.2430  35.6090     4.00    3.3    
201009194047  2010   9  19  22  47   1.00 -97.2460  35.6110     5.00    3.5    
201009204012  2010   9  20   3  42  28.00 -97.2510  35.6140     5.00    2.7    
201009224003  2010   9  22   1  20  35.00 -97.2590  35.6100     5.00    2.5    
201009234018  2010   9  23  10  54  22.00 -97.1890  35.4590     3.10    2.5    
201009244018  2010   9  24  17   1   3.00 -97.2590  35.6150     5.60    2.5    
201009254027  2010   9  25  12  26  19.00 -96.7150  34.1090     5.00    3.3    
201009264011  2010   9  26   5  10  55.00 -97.2370  35.5580     4.70    2.5    
201009264030  2010   9  26  10  48  58.00 -97.2380  35.6090     3.30    2.5    
201010014047  2010  10   1  22  14  39.00 -96.0290  34.8610     5.00    3.1    
201010064002  2010  10   6   2  54   4.00 -97.2570  35.6160     2.70    2.8    
201010134024  2010  10  13  14  30   6.00 -97.3200  35.1920    13.00    4.4    
201010184020  2010  10  18  14   3   5.00 -97.3980  36.0370     5.00    2.5    
201010194006  2010  10  19   3  47  10.00 -95.5840  35.0180     5.00    2.7    
201010194036  2010  10  19  17  17  53.00 -97.3330  35.1360     5.00    2.8    
201010214007  2010  10  21   4  40  16.00 -95.6060  35.0600     5.00    2.5    
201010254060  2010  10  25  20  13  53.00 -97.7410  34.8740     5.00    3.2    
201010284021  2010  10  28   9  52  52.00 -97.2340  35.5910     5.00    2.5    
201010284023  2010  10  28   9  53  59.00 -97.2430  35.5900     5.00    2.5    
201010294013  2010  10  29   4  39  18.00 -97.2380  35.5900     1.30    2.7    
201011024027  2010  11   2  16  37  35.00 -97.2990  35.5570     5.70    2.5    
201011164002  2010  11  16   0   7  46.00 -97.3960  34.7190     5.00    2.7    
201011214039  2010  11  21  20  16  31.00 -96.2670  34.5520     5.00    2.5    
201011244052  2010  11  24  22  30  48.00 -97.2460  35.6120     5.00    3.9    
201011244053  2010  11  24  23  13  45.00 -97.2400  35.6140     6.20    3.1    
201011254035  2010  11  25  16   3   9.00 -97.2410  35.6210     5.50    2.5    
201011254036  2010  11  25  16   3  10.00 -97.2350  35.6130     3.50    2.6    
201011254047  2010  11  25  21  56  19.00 -97.2410  35.6110     3.60    2.7    
201011284010  2010  11  28   2  60  45.00 -97.2450  35.6130     2.30    3.2    
201011284013  2010  11  28   3  47  26.00 -97.2240  35.6540     5.00    3.0    
201011284014  2010  11  28   3  43  28.00 -97.2420  35.6120     2.50    3.5    
201011284037  2010  11  28  13  26  46.00 -97.2390  35.6190     3.40    3.3    
201011284052  2010  11  28  17  29  57.00 -97.2490  35.6170     2.30    2.5    
201011294005  2010  11  29   5  35  15.00 -97.2460  35.6180     1.90    2.6    
201011304029  2010  11  30  12  31   5.00 -97.4000  34.6880     5.00    2.5    
201012104001  2010  12  10   2   3  13.00 -96.8400  35.4920     5.00    2.6    
201012124003  2010  12  12   1  56   7.00 -96.9810  35.4310     5.00    3.2    
201012124006  2010  12  12   1  42  56.00 -96.9760  35.4440     4.30    2.8    
